Date and Time (UTC),Transmitter,Station Name,Lat_dd,Lon_dd
2018-08-14 16:51:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:51:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:51:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:51:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 16:51:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 18:05:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 18:05:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 18:12:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 18:12:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 18:13:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 18:13:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 18:13:00,A69-1602-29792,SB-03,33.48695,-119.04055
2018-08-14 14:47:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:47:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:47:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:48:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:48:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:48:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:48:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:57:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:58:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:58:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:59:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 14:59:00,A69-1602-29792,SB-05,33.47595,-119.0476333
2018-08-14 15:19:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:20:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:21:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:21:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:22:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:22:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:22:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:22:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:23:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:24:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:24:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:24:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:24:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:25:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:25:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:25:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:26:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:36:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:36:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:36:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:36:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:36:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:38:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-14 15:38:00,A69-1602-29792,SB-06,33.468,-119.0457167
2018-08-13 22:18:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:18:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:18:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:18:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:18:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:18:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:18:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:19:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:19:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:19:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:19:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:19:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:20:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:20:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:20:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:21:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:28:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:29:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:29:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:29:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:29:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:29:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:29:00,A69-1602-29792,SB-07,33.46366667,-119.0418333
2018-08-13 22:44:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:44:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:44:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:45:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:45:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:45:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:45:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:45:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:46:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:46:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:46:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:46:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:46:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:46:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:46:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:46:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:49:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:57:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:58:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-13 22:58:00,A69-1602-29792,SB-08,33.46065,-119.0348
2018-08-14 00:33:00,A69-1602-9718,SB-08,33.46065,-119.0348
2018-08-14 00:35:00,A69-1602-9718,SB-08,33.46065,-119.0348
2018-08-14 00:38:00,A69-1602-9718,SB-08,33.46065,-119.0348
2018-08-14 11:07:00,A69-1602-9718,SB-08,33.46065,-119.0348
2018-08-14 11:09:00,A69-1602-9718,SB-08,33.46065,-119.0348
2018-08-14 11:11:00,A69-1602-9718,SB-08,33.46065,-119.0348
2018-08-14 11:19:00,A69-1602-9718,SB-08,33.46065,-119.0348
2018-08-14 16:44:00,A69-1602-9718,SB-08,33.46065,-119.0348
2018-08-14 16:46:00,A69-1602-9718,SB-08,33.46065,-119.0348
2018-08-14 16:49:00,A69-1602-9718,SB-08,33.46065,-119.0348
